"filename", "language", "TypeScript", "JSON", "HTML", "Markdown", "JSON with Comments", "TypeScript JSX", "Rust", "CSS", "XML", "Properties", "comment", "blank", "total"
"d:\Code\GitHub\black-lotus-dev\stream-apps\lzr\.env", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 13
"d:\Code\GitHub\black-lotus-dev\stream-apps\lzr\README.md", "Markdown", 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 4, 8
"d:\Code\GitHub\black-lotus-dev\stream-apps\lzr\index.html", "HTML", 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 2, 15
"d:\Code\GitHub\black-lotus-dev\stream-apps\lzr\package-lock.json", "JSON", 0, 8674, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8675
"d:\Code\GitHub\black-lotus-dev\stream-apps\lzr\package.json", "JSON", 0, 56, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 57
"d:\Code\GitHub\black-lotus-dev\stream-apps\lzr\public\tauri.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 1, 7
"d:\Code\GitHub\black-lotus-dev\stream-apps\lzr\public\vite.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"d:\Code\GitHub\black-lotus-dev\stream-apps\lzr\src-tauri\build.rs", "Rust", 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 1, 4
"d:\Code\GitHub\black-lotus-dev\stream-apps\lzr\src-tauri\src\main.rs", "Rust", 0, 0, 0, 0, 0, 0, 24, 0, 0, 0, 3, 3, 30
"d:\Code\GitHub\black-lotus-dev\stream-apps\lzr\src-tauri\tauri.conf.json", "JSON", 0, 73, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 74
"d:\Code\GitHub\black-lotus-dev\stream-apps\lzr\src\api\spotify\queue.ts", "TypeScript", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 14
"d:\Code\GitHub\black-lotus-dev\stream-apps\lzr\src\api\twitch\login.ts", "TypeScript", 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 48
"d:\Code\GitHub\black-lotus-dev\stream-apps\lzr\src\api\user\user.ts", "TypeScript", 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 25
"d:\Code\GitHub\black-lotus-dev\stream-apps\lzr\src\assets\react.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"d:\Code\GitHub\black-lotus-dev\stream-apps\lzr\src\components\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 2, 3, 23
"d:\Code\GitHub\black-lotus-dev\stream-apps\lzr\src\components\music\settingsSection.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 183, 0, 0, 0, 0, 107, 37, 327
"d:\Code\GitHub\black-lotus-dev\stream-apps\lzr\src\components\twitch\settingsSection.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 94, 0, 0, 0, 0, 1, 12, 107
"d:\Code\GitHub\black-lotus-dev\stream-apps\lzr\src\configs\firebase.ts", "TypeScript", 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 20
"d:\Code\GitHub\black-lotus-dev\stream-apps\lzr\src\constants\store\base.ts", "TypeScript", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"d:\Code\GitHub\black-lotus-dev\stream-apps\lzr\src\constants\store\prefs.ts", "TypeScript", 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 21
"d:\Code\GitHub\black-lotus-dev\stream-apps\lzr\src\constants\store\slices.ts", "TypeScript", 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3
"d:\Code\GitHub\black-lotus-dev\stream-apps\lzr\src\constants\user.ts", "TypeScript", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5
"d:\Code\GitHub\black-lotus-dev\stream-apps\lzr\src\constants\websocket.ts", "TypeScript", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"d:\Code\GitHub\black-lotus-dev\stream-apps\lzr\src\lzrClients\music\client.ts", "TypeScript", 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13, 54
"d:\Code\GitHub\black-lotus-dev\stream-apps\lzr\src\lzrClients\music\local.ts", "TypeScript", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 22
"d:\Code\GitHub\black-lotus-dev\stream-apps\lzr\src\lzrClients\music\queue.ts", "TypeScript", 81, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 98
"d:\Code\GitHub\black-lotus-dev\stream-apps\lzr\src\lzrClients\music\spotify.ts", "TypeScript", 176, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 34, 219
"d:\Code\GitHub\black-lotus-dev\stream-apps\lzr\src\lzrClients\twitch\chat\commandHandler.ts", "TypeScript", 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 6, 54
"d:\Code\GitHub\black-lotus-dev\stream-apps\lzr\src\lzrClients\twitch\chat\commands\music.ts", "TypeScript", 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 12, 54
"d:\Code\GitHub\black-lotus-dev\stream-apps\lzr\src\lzrClients\twitch\chat\commands\test.ts", "TypeScript", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9
"d:\Code\GitHub\black-lotus-dev\stream-apps\lzr\src\lzrClients\twitch\client.ts", "TypeScript", 164, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 30, 206
"d:\Code\GitHub\black-lotus-dev\stream-apps\lzr\src\main.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 2, 18
"d:\Code\GitHub\black-lotus-dev\stream-apps\lzr\src\pages\app.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 65, 0, 0, 0, 0, 3, 14, 82
"d:\Code\GitHub\black-lotus-dev\stream-apps\lzr\src\pages\landing.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 82, 0, 0, 0, 0, 2, 7, 91
"d:\Code\GitHub\black-lotus-dev\stream-apps\lzr\src\pages\user.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 56, 0, 0, 0, 0, 0, 5, 61
"d:\Code\GitHub\black-lotus-dev\stream-apps\lzr\src\provider\firebase.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 26, 0, 0, 0, 0, 1, 6, 33
"d:\Code\GitHub\black-lotus-dev\stream-apps\lzr\src\redux\models.ts", "TypeScript", 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 27
"d:\Code\GitHub\black-lotus-dev\stream-apps\lzr\src\redux\slices\music.ts", "TypeScript", 63, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 2, 68
"d:\Code\GitHub\black-lotus-dev\stream-apps\lzr\src\redux\slices\prefs.ts", "TypeScript", 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 4, 40
"d:\Code\GitHub\black-lotus-dev\stream-apps\lzr\src\redux\slices\twitch.ts", "TypeScript", 63, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4, 69
"d:\Code\GitHub\black-lotus-dev\stream-apps\lzr\src\redux\slices\user.ts", "TypeScript", 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 2, 34
"d:\Code\GitHub\black-lotus-dev\stream-apps\lzr\src\redux\store.ts", "TypeScript", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 11
"d:\Code\GitHub\black-lotus-dev\stream-apps\lzr\src\style.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 85, 0, 0, 0, 18, 103
"d:\Code\GitHub\black-lotus-dev\stream-apps\lzr\src\styles\app.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 31, 0, 0, 4, 4, 39
"d:\Code\GitHub\black-lotus-dev\stream-apps\lzr\src\styles\musicSettings.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 38, 0, 0, 0, 7, 45
"d:\Code\GitHub\black-lotus-dev\stream-apps\lzr\src\styles\sharedLayout.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 57, 0, 0, 4, 11, 72
"d:\Code\GitHub\black-lotus-dev\stream-apps\lzr\src\styles\twitchSettings.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 1, 9
"d:\Code\GitHub\black-lotus-dev\stream-apps\lzr\src\types\apiResponses\apiError.ts", "TypeScript", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 15
"d:\Code\GitHub\black-lotus-dev\stream-apps\lzr\src\types\apiResponses\apiReturn.ts", "TypeScript", 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 40
"d:\Code\GitHub\black-lotus-dev\stream-apps\lzr\src\types\apiResponses\spotify\auth.ts", "TypeScript", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 9
"d:\Code\GitHub\black-lotus-dev\stream-apps\lzr\src\types\music\local\base.ts", "TypeScript", 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 22
"d:\Code\GitHub\black-lotus-dev\stream-apps\lzr\src\types\music\local\props.ts", "TypeScript", 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 32
"d:\Code\GitHub\black-lotus-dev\stream-apps\lzr\src\types\music\spotify\playlist.ts", "TypeScript", 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 17
"d:\Code\GitHub\black-lotus-dev\stream-apps\lzr\src\types\music\spotify\user.ts", "TypeScript", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 9
"d:\Code\GitHub\black-lotus-dev\stream-apps\lzr\src\types\nestedPartial.ts", "TypeScript", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"d:\Code\GitHub\black-lotus-dev\stream-apps\lzr\src\types\redux\base.ts", "TypeScript", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"d:\Code\GitHub\black-lotus-dev\stream-apps\lzr\src\types\redux\music.ts", "TypeScript", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 13
"d:\Code\GitHub\black-lotus-dev\stream-apps\lzr\src\types\redux\prefs.ts", "TypeScript", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 8
"d:\Code\GitHub\black-lotus-dev\stream-apps\lzr\src\types\redux\twitch.ts", "TypeScript", 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 28
"d:\Code\GitHub\black-lotus-dev\stream-apps\lzr\src\types\redux\user.ts", "TypeScript", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 9
"d:\Code\GitHub\black-lotus-dev\stream-apps\lzr\src\types\store\base.ts", "TypeScript", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"d:\Code\GitHub\black-lotus-dev\stream-apps\lzr\src\types\store\music\index.ts", "TypeScript", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 11
"d:\Code\GitHub\black-lotus-dev\stream-apps\lzr\src\types\store\music\local.ts", "TypeScript", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 17
"d:\Code\GitHub\black-lotus-dev\stream-apps\lzr\src\types\store\music\spotify.ts", "TypeScript", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 13
"d:\Code\GitHub\black-lotus-dev\stream-apps\lzr\src\types\store\prefs.ts", "TypeScript", 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 19
"d:\Code\GitHub\black-lotus-dev\stream-apps\lzr\src\types\store\slice.ts", "TypeScript", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 16
"d:\Code\GitHub\black-lotus-dev\stream-apps\lzr\src\types\store\twitch.ts", "TypeScript", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 10
"d:\Code\GitHub\black-lotus-dev\stream-apps\lzr\src\types\store\user.ts", "TypeScript", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 10
"d:\Code\GitHub\black-lotus-dev\stream-apps\lzr\src\types\twitch\index.ts", "TypeScript", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14
"d:\Code\GitHub\black-lotus-dev\stream-apps\lzr\src\types\user.ts", "TypeScript", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 15
"d:\Code\GitHub\black-lotus-dev\stream-apps\lzr\src\utils\apiWrapper.ts", "TypeScript", 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 5, 24
"d:\Code\GitHub\black-lotus-dev\stream-apps\lzr\src\utils\converters\typeConverter.ts", "TypeScript", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 9
"d:\Code\GitHub\black-lotus-dev\stream-apps\lzr\src\utils\converters\userConverter.ts", "TypeScript", 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 24
"d:\Code\GitHub\black-lotus-dev\stream-apps\lzr\src\utils\createRandString.ts", "TypeScript", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 13
"d:\Code\GitHub\black-lotus-dev\stream-apps\lzr\src\utils\createReqBody.ts", "TypeScript", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13
"d:\Code\GitHub\black-lotus-dev\stream-apps\lzr\src\utils\fetchApi.ts", "TypeScript", 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 20
"d:\Code\GitHub\black-lotus-dev\stream-apps\lzr\src\vite-env.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"d:\Code\GitHub\black-lotus-dev\stream-apps\lzr\tsconfig.json", "JSON with Comments", 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 1, 22
"d:\Code\GitHub\black-lotus-dev\stream-apps\lzr\tsconfig.node.json", "JSON", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10
"d:\Code\GitHub\black-lotus-dev\stream-apps\lzr\vite.config.ts", "TypeScript", 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 3, 28
"Total", "-", 1262, 8812, 13, 4, 21, 540, 27, 219, 8, 13, 196, 399, 11514